,date,text
132,2024-04-22,How Can Elon Musk Reassure Tesla Investors? The electric vehicle maker has announced price cuts and a Cybertruck recall ahead of Tuesday’s pivotal earnings report.
25,2024-04-23,"Tesla’s Profit Fell 55%, Adding to Concerns About Its Strategy The first-quarter results are likely to fuel worries that competitors will continue grabbing a bigger slice of a market dealing with slowing electric car sales."
151,2024-04-23,"In Ukraine, New American Technology Won the Day. Until It Was Overwhelmed. Project Maven was meant to revolutionize modern warfare. But the conflict in Ukraine has underscored how difficult it is to get 21st-century data into 19th-century trenches."
164,2024-04-24,"Who Stands to Gain from a TikTok Ban The Senate has finally passed a law that could bar the  video-sharing app in the U.S., leaving some tech giants in pole position to profit — or pounce."
78,2024-04-29,"Tesla Reaches Deals in China on Self-Driving Cars Elon Musk met with the country’s premier, a longtime Tesla ally, and secured regulatory nods and a necessary partnership with a Chinese tech company."
79,2024-04-30,‘Smartphones on Wheels’ Draw Attention From Regulators Modern cars are internet-connected and have hundreds of sensors. Lawmakers and regulators have concerns about what’s happening with all that data.
84,2024-04-30,"Tesla Fires Many on Charger Team, Raising Doubts About Expansion The carmaker dismissed 500 employees in a unit that was critical to its success and seen as important to the future of electric vehicle sales in the United States."
36,2024-05-01,"China’s Electric Cars Keep Improving, a Worry for Rivals Elsewhere More capable autonomous driving is just one way Chinese automakers are threatening to pull ahead — their E.V.s are also becoming bigger and roomier."
153,2024-05-01,"Arizona Voted to Repeal Its Abortion Ban Also, the Fed eyes a longer period of high rates. Here’s the latest at the end of Wednesday."
136,2024-05-06,"Paris Promised the Olympics Would Be Accessible. The Clock Is Ticking. The city, which put inclusivity at the center of its bid, has improved access for people with disabilities, but with the opening ceremony about 12 weeks away, obstacles remain."
1,2024-05-06,"Wayve, an A.I. Start-Up for Autonomous Driving, Raises $1 Billion The London-based developer of artificial intelligence systems for self-driving vehicles raised the funding from SoftBank, Nvidia, Microsoft and others."
112,2024-05-07,The Big Questions Hanging Over a Blackstone Fund Wall Street has been debating how the investment giant’s $59 billion real estate fund has managed to outperform virtually all its rivals.
54,2024-05-08,"Billions in Chips Grants Are Expected to Fuel Industry Growth, Report Finds The United States will triple its domestic chip manufacturing capacity by 2032, the largest increase in the world, according to a report from the Semiconductor Industry Association."
131,2024-05-21,"Scarlett Johansson and OpenAI’s Trust Issues The actress, who criticized the use of a soundalike voice for ChatGPT, is the latest to raise concerns about the artificial intelligence start-up’s practices."
158,2024-05-21,"Haiti’s Gangs Grow Stronger as Kenyan-Led Force Prepares to Deploy Gang leaders with suspected links to the 2021 Haitian president’s assassination now control key infrastructure, and pose a major threat to the incoming Kenya-led force."
